0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/images/catssofunny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/images/catfails.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:42:20 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:45:00 +0100] "GET /demarrage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:45:00 +0100] "GET /demarrage/js/main.js HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:45:00 +0100] "GET /demarrage/css/bootstrap.min.css.map HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/index.html HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/css/flatly-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/images/catlaugh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/images/catfails.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/images/catssofunny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2018:15:48:42 +0100] "GET /demarrage/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
